Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204371.7,EHMT2,protein coding,Protein-coding transcript,"chr6:31,847,536-31,865,464",8,11.4,21,13.6,19.2,23.9,6,8.3,25.7,29,24.4,16.3,20.7,21.7,31,N/A,6.95E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.22E-02,N/A,1.75E-02,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204387.8,C6orf48,protein coding,Protein-coding transcript,"chr6:31,802,385-31,807,541",663,625.3,670.2,1127.3,2233.2,2133.1,953.2,1213.4,1959.2,1108.7,1355.9,1226.1,1361.8,1453.9,1420,2.27E-02,N/A,N/A,2.35E-02,N/A,1.88E-02,N/A,N/A,6.63E-03,5.95E-03,1.08E-02,N/A,N/A,N/A,N/A,6
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204390.8,HSPA1L,protein coding,Protein-coding transcript,"chr6:31,777,396-31,783,437",2.2,2.7,4.8,0.8,5.4,2.8,8.6,7.2,6.6,9.9,5.5,5.1,6,5.9,6,N/A,N/A,N/A,N/A,2.24E-02,N/A,N/A,N/A,N/A,9.16E-03,N/A,N/A,2.52E-02,4.39E-03,1.20E-02,5
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204392.6,LSM2,protein coding,Protein-coding transcript,"chr6:31,765,173-31,774,761",17.3,12.3,37.1,22.8,25.1,33.8,32,45.4,29.1,42.9,25.7,21.6,25.9,24.7,27.3,N/A,5.67E-03,N/A,N/A,N/A,N/A,2.36E-02,N/A,3.24E-02,1.48E-02,N/A,N/A,N/A,N/A,N/A,4
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204410.10,MSH5,protein coding,Protein-coding transcript,"chr6:31,707,725-31,732,622",2,4.4,3.7,5.8,2,1.7,0.7,0.7,2,2.6,2.6,2.7,2.5,3,2.2,3.34E-03,2.55E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.31E-03,3.85E-02,N/A,N/A,1.89E-02,5
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204428.8,LY6G5C,protein coding,Protein-coding transcript,"chr6:31,644,461-31,651,817",2.2,1.2,2.9,0.6,2.4,2.4,1.6,1.8,2.9,4.7,3.1,2.4,2.9,2.9,3.4,2.81E-04,2.96E-16,1.37E-05,N/A,3.04E-11,8.09E-14,7.83E-17,2.92E-17,8.14E-14,4.02E-08,8.87E-07,7.53E-11,3.01E-09,7.44E-09,5.52E-08,14
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204444.6,APOM,protein coding,Protein-coding transcript,"chr6:31,620,193-31,625,987",15.2,21.3,14.1,34.8,15.2,17.5,5.3,7.1,12.5,15.5,16.2,15.7,14.9,14.7,14.8,N/A,1.67E-02,3.17E-02,1.79E-02,N/A,N/A,6.99E-03,N/A,N/A,9.35E-04,N/A,1.70E-02,N/A,N/A,N/A,6
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204472.8,AIF1,protein coding,Protein-coding transcript,"chr6:31,582,961-31,584,798",860.7,1770.7,6.5,1.1,62.4,86.3,7.7,15.5,27.7,4.9,9,5.2,5.2,8.7,17.1,N/A,N/A,N/A,1.45E-02,2.13E-05,2.57E-10,7.97E-04,9.84E-06,4.74E-06,N/A,3.21E-04,2.31E-04,2.11E-06,7.87E-06,6.58E-06,11
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204475.5,NCR3,protein coding,Protein-coding transcript,"chr6:31,556,672-31,560,762",0.3,1.5,210.3,32.8,5.9,25.8,0.5,1.9,20.1,38.5,17.1,21.7,13.9,13.9,8.3,N/A,N/A,N/A,N/A,N/A,6.47E-03,N/A,1.31E-02,N/A,2.04E-04,2.59E-02,N/A,4.82E-04,N/A,3.03E-03,6
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204498.6,NFKBIL1,protein coding,Protein-coding transcript,"chr6:31,514,647-31,526,606",9,6.1,11.2,5.9,12.7,12.8,9.7,8.5,17.9,13.1,12.1,7.7,9.5,10.8,15.9,N/A,7.36E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.30E-02,6.44E-03,N/A,N/A,N/A,1.23E-02,4
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204516.5,MICB,protein coding,Protein-coding transcript,"chr6:31,462,658-31,478,901",40.5,50.5,94.8,50.8,33,32.4,11.8,17.7,39.4,69.6,56.2,53.7,54.9,53,51.9,2.42E-05,9.88E-05,3.60E-04,1.11E-02,2.07E-02,9.94E-03,N/A,N/A,3.45E-03,1.38E-12,2.03E-05,3.74E-07,1.03E-09,8.63E-07,1.98E-07,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204520.8,MICA,protein coding,Protein-coding transcript,"chr6:31,371,356-31,383,092",19.4,31.5,44.5,29.5,46.8,45.5,11,14,46.7,51.4,51.8,43.6,47.9,42.6,49,1.03E-10,4.55E-10,3.55E-06,4.58E-07,7.49E-12,2.33E-10,2.19E-05,7.63E-07,6.67E-10,5.54E-12,1.13E-08,3.21E-11,4.67E-13,4.27E-11,1.50E-10,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204525.10,HLA-C,protein coding,Protein-coding transcript,"chr6:31,236,526-31,239,907",850.1,746.9,1456.8,419.8,666,827.1,420.7,678.5,716.4,1396.5,1178.4,853.3,1028.5,1028.9,1166.7,5.99E-07,1.24E-07,6.82E-08,9.99E-03,5.44E-14,2.13E-16,2.85E-09,2.50E-09,2.17E-17,1.59E-14,3.64E-11,2.87E-15,1.40E-13,4.34E-13,4.40E-16,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204536.9,CCHCR1,protein coding,Protein-coding transcript,"chr6:31,110,216-31,126,015",3.7,4.4,9.2,7.5,10,11.3,2.3,3.2,11.3,13.8,11,7.3,9.2,9.7,14.2,1.22E-05,3.78E-06,3.91E-03,1.39E-04,2.66E-04,2.53E-07,8.23E-05,9.51E-04,6.60E-05,3.94E-05,1.40E-02,4.12E-05,2.24E-04,8.94E-04,3.14E-08,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204564.7,C6orf136,protein coding,Protein-coding transcript,"chr6:30,614,816-30,620,987",11.4,23.9,42.2,16.9,24.2,29,14.3,21.7,24.6,31.4,27.2,24.2,27.8,24.8,29.6,N/A,N/A,1.80E-02,N/A,N/A,N/A,N/A,1.98E-02,3.16E-02,7.66E-03,3.05E-03,N/A,2.57E-02,N/A,N/A,6
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204569.5,PPP1R10,protein coding,Protein-coding transcript,"chr6:30,568,177-30,586,389",10.6,11.3,26.1,29.7,33.1,30.3,124.8,146.3,36.9,28.7,28.9,22.5,22.5,24.2,27.7,N/A,N/A,N/A,N/A,N/A,N/A,2.52E-02,N/A,N/A,N/A,2.62E-02,N/A,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204576.7,PRR3,protein coding,Protein-coding transcript,"chr6:30,524,663-30,531,500",4.5,4.3,8.4,10,13.6,13.8,26.9,33.1,12.6,8,9.8,9,7.9,8.5,10,1.65E-02,N/A,2.72E-02,2.90E-04,N/A,2.73E-02,N/A,N/A,N/A,1.37E-03,N/A,N/A,7.40E-03,1.96E-02,N/A,7
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204592.5,HLA-E,protein coding,Protein-coding transcript,"chr6:30,457,244-30,461,982",2047.2,3519.3,4645.3,2009.7,2998.2,3269.6,3521.3,3292.8,3181.6,4265.1,3741.1,3102.8,3294.9,3383.1,3777.6,N/A,2.10E-02,2.86E-03,2.78E-02,4.06E-03,2.62E-03,N/A,1.60E-02,3.24E-02,N/A,2.42E-03,5.38E-03,2.64E-03,1.88E-03,N/A,11
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204632.7,HLA-G,protein coding,Protein-coding transcript,"chr6:29,794,744-29,798,902",48.4,33,77.1,24.2,35.5,44.1,59.3,78.7,45.5,107.5,64.9,46.1,67.4,66.4,75.1,7.21E-21,1.45E-18,3.80E-19,3.66E-19,3.38E-22,2.21E-23,3.92E-18,7.56E-21,4.60E-26,1.78E-24,5.32E-22,4.06E-21,6.70E-23,9.65E-24,1.19E-23,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204657.2,OR2H2,protein coding,Protein-coding transcript,"chr6:29,555,683-29,556,745",0.1,0.1,0,1.5,1,0.5,0.3,0.2,1.5,0.6,0.6,0.5,1.2,0.8,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.36E-02,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000206344.6,HCG27,protein coding,Protein-coding transcript,"chr6:31,165,537-31,171,745",3.5,6,4.5,3.5,17.6,13.6,6.9,5,19.5,19.7,9.7,7.8,11,10.4,16.3,3.75E-05,5.30E-07,1.42E-07,2.98E-06,6.18E-06,2.50E-04,1.22E-03,5.68E-03,1.51E-05,3.01E-06,1.68E-07,2.68E-08,1.07E-06,2.62E-06,8.68E-06,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000213676.6,ATF6B,protein coding,Protein-coding transcript,"chr6:32,065,953-32,096,030",89,98.7,123.9,72.6,72.8,80.2,28.4,36.3,98.3,132.8,105.6,77.1,91.4,90.8,129.2,N/A,2.49E-02,N/A,1.92E-02,N/A,N/A,1.71E-02,N/A,N/A,N/A,7.00E-03,1.53E-02,4.63E-03,N/A,N/A,6
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000213760.6,ATP6V1G2,protein coding,Protein-coding transcript,"chr6:31,512,239-31,516,204",0.3,0.6,2.4,3.4,9.9,10,3.9,4,10.8,7,6.5,5.4,5.5,6.9,7.5,N/A,N/A,N/A,1.56E-03,3.21E-04,9.05E-03,5.75E-03,N/A,3.23E-03,8.66E-03,6.14E-05,9.98E-06,4.54E-04,2.58E-05,N/A,10
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000214894.2,LINC00243,processed transcript,lncRNA,"chr6:30,766,431-30,798,436",0.3,0,2,0.1,11.6,7,1.9,0.9,15.5,5.5,5.7,4.2,4.7,5.7,9,N/A,N/A,9.43E-04,N/A,5.96E-06,5.57E-03,3.16E-03,N/A,9.74E-07,1.94E-04,8.65E-04,3.07E-03,9.93E-04,8.00E-03,2.83E-04,11
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000219797.2,PPIAP9,pseudogene,Pseudogene,"chr6:31,487,257-31,488,068",3,2.7,4.6,2.7,3.3,4.1,7.5,9.2,3.9,4.5,3.8,5.6,5,4.4,3.6,N/A,N/A,N/A,N/A,N/A,N/A,4.14E-02,N/A,N/A,N/A,N/A,2.68E-02,2.88E-02,N/A,N/A,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000220201.3,ZGLP1,protein coding,Protein-coding transcript,"chr19:10,415,479-10,420,556",2.6,2.3,1.2,1.1,2.4,3.6,4.5,6.5,3.1,2.3,2.2,1.2,1.6,1.9,2.4,7.40E-04,N/A,N/A,1.62E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000222894.1,AL662800.1,miRNA,sncRNA,"chr6:30,584,006-30,584,082",13.6,13,12.1,10.2,9.1,8.1,19.7,15.6,7.6,11.6,12.5,13.7,15.2,13.6,6.9,1.33E-02,N/A,N/A,N/A,1.14E-02,N/A,N/A,N/A,N/A,N/A,N/A,8.60E-03,N/A,N/A,N/A,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000223534.1,HLA-DQB1-AS1,antisense,lncRNA,"chr6:32,627,657-32,628,506",40.9,12.7,1.4,263.5,1.4,1,0.6,0.6,0.9,9,0.5,0.3,1.5,1.5,0.7,9.57E-17,1.79E-16,5.86E-13,1.94E-20,9.45E-16,N/A,N/A,N/A,N/A,1.43E-17,N/A,N/A,2.36E-13,6.33E-12,N/A,8
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000226441.2,PLCL2-AS1,antisense,lncRNA,"chr3:17,084,234-17,085,684",1.8,1.6,3.8,7.8,3.1,3.7,0.2,0.2,2,1.8,4.3,5.3,3.6,5.2,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.36E-02,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000227507.2,LTB,protein coding,Protein-coding transcript,"chr6:31,548,302-31,550,299",3.3,22.4,9.2,124.1,198.4,181.1,74.2,56,267.1,433.7,345.8,315.3,522.3,377.6,684.2,N/A,2.91E-02,8.58E-03,1.18E-02,2.67E-02,N/A,N/A,1.84E-02,N/A,6.10E-03,3.54E-02,1.42E-02,N/A,N/A,N/A,8
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000228727.4,SAPCD1,protein coding,Protein-coding transcript,"chr6:31,730,576-31,732,628",2.2,4.6,5.4,5.6,2.2,1.7,0.6,0.8,2.3,3.7,3.2,2.7,2.7,3.4,3.1,N/A,1.48E-02,3.51E-02,1.49E-03,2.87E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.58E-03,5
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000229391.3,HLA-DRB6,pseudogene,Pseudogene,"chr6:32,520,490-32,527,799",91.1,58.2,4.4,110,1,1.2,0.5,0.5,0.8,15,1.8,0.3,1.6,1.9,1.3,2.00E-20,1.15E-20,4.64E-08,3.92E-15,5.30E-08,5.95E-11,N/A,N/A,N/A,6.27E-17,9.23E-06,N/A,3.32E-10,2.89E-12,1.02E-07,11
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000230449.1,RPL7P4,pseudogene,Pseudogene,"chr6:30,664,583-30,665,312",0.6,0.2,0.9,0.6,2,1.7,0.9,1.2,0.8,1.1,1.2,1.3,1.5,1.2,1.3,N/A,N/A,N/A,N/A,2.38E-03,N/A,N/A,N/A,N/A,N/A,N/A,2.57E-02,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000230795.2,HLA-K,pseudogene,Pseudogene,"chr6:29,894,236-29,897,009",1.7,2.3,3.8,3.2,5.3,6.3,11.4,10.9,5,5.9,6.5,4.8,4.5,4.9,6.4,4.90E-12,4.32E-09,1.34E-06,1.24E-05,4.04E-10,6.48E-10,1.96E-16,5.27E-13,1.29E-09,1.52E-09,1.87E-08,7.01E-07,1.64E-09,1.58E-07,3.08E-09,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000232629.4,HLA-DQB2,protein coding,Protein-coding transcript,"chr6:32,723,875-32,731,311",31.2,12.1,1.4,108.3,0.7,0.8,1.1,0.7,1.2,13.6,1.6,0.5,2.3,2.6,1.5,6.77E-16,2.11E-12,1.46E-06,1.52E-18,N/A,N/A,2.87E-13,N/A,2.54E-12,5.55E-19,7.67E-11,N/A,2.49E-14,4.01E-14,3.06E-08,11
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000234745.5,HLA-B,protein coding,Protein-coding transcript,"chr6:31,321,649-31,324,965",2302.3,2094.1,3415.9,1771.5,1822.1,2051.3,1558.8,2117.3,1877,3008.9,2894.8,2471,2611,2614.1,2783.9,6.05E-03,1.09E-02,6.85E-03,1.43E-03,3.85E-03,4.01E-04,N/A,6.51E-03,3.47E-05,2.93E-07,4.75E-03,1.38E-02,2.90E-03,4.66E-03,1.88E-06,14
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000235290.1,HLA-W,pseudogene,Pseudogene,"chr6:29,924,373-29,926,347",0.5,0.4,1.3,1,1.3,1.3,1.4,1.2,1.6,1.4,1,0.7,0.9,1.1,1.5,N/A,N/A,1.67E-02,1.76E-02,4.10E-08,2.57E-06,9.01E-06,3.27E-07,1.44E-05,1.04E-04,6.59E-04,N/A,N/A,6.32E-05,2.64E-04,11
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000236935.1,AP003774.1,antisense,lncRNA,"chr11:64,092,522-64,096,976",1.3,1.2,10.9,8.9,6.8,8.7,1.8,2.3,5.7,8.1,6,4.9,5.5,6.3,6,5.97E-10,1.88E-08,3.23E-13,8.89E-13,1.20E-10,1.74E-15,1.81E-05,3.57E-05,7.42E-10,4.34E-16,4.44E-15,4.75E-15,1.11E-14,1.04E-14,2.21E-13,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000237522.1,NONOP2,pseudogene,Pseudogene,"chr2:61,163,954-61,165,184",12.9,22.3,24.8,59.8,7.9,9.2,53.9,68.1,12.2,15.7,10.3,8.6,9.6,11.2,11.5,N/A,N/A,N/A,6.66E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.62E-02,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000237541.3,HLA-DQA2,protein coding,Protein-coding transcript,"chr6:32,709,119-32,714,992",57.4,72.5,4.2,211.4,1.2,1.3,1.1,1.1,0.6,15.5,1.4,0.2,1.3,1.3,1,3.30E-23,3.04E-24,3.61E-13,5.21E-24,2.12E-09,2.39E-13,2.63E-11,3.29E-10,N/A,3.95E-20,6.17E-06,N/A,3.61E-12,3.90E-12,6.63E-06,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000237669.1,HCG4P3,pseudogene,Pseudogene,"chr6:29,973,898-29,974,893",0.7,1.3,1.4,0.7,1.7,2,1,1.3,2.3,3.3,2.1,1.5,1.9,1.9,3.3,N/A,1.17E-05,1.32E-04,N/A,3.22E-05,1.32E-05,N/A,2.40E-04,2.41E-07,1.38E-07,1.12E-05,1.49E-05,7.32E-08,3.23E-05,2.87E-08,12
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000240053.8,LY6G5B,protein coding,Protein-coding transcript,"chr6:31,637,944-31,641,553",27.6,31.8,38.8,29.1,41.5,34.1,23.5,26.6,36.9,36.1,34.1,31.2,33,34,34.5,N/A,N/A,1.36E-02,6.77E-05,1.59E-05,5.17E-08,2.45E-02,5.96E-03,9.38E-07,2.69E-05,3.44E-05,4.20E-08,8.61E-09,1.68E-06,1.13E-08,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000241106.2,HLA-DOB,protein coding,Protein-coding transcript,"chr6:32,780,540-32,784,825",6,10.7,17.2,235.2,17.7,18.2,6,9.1,14.6,17.9,11.5,10.6,11.2,11.3,12.4,7.76E-11,3.64E-12,9.98E-12,5.85E-03,3.14E-12,4.63E-12,3.02E-10,1.56E-10,1.18E-11,4.30E-12,2.27E-10,8.89E-12,1.34E-11,8.45E-12,3.43E-12,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000241461.2,RN7SL182P,misc RNA,sncRNA,"chr3:49,120,666-49,120,963",0.7,0.8,0.8,1,0.9,1,0.2,0.2,0.4,1.4,1,0.8,0.8,0.9,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.06E-02,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000243753.1,HLA-L,pseudogene,Pseudogene,"chr6:30,227,361-30,260,791",6.4,4.9,9.4,33.8,4.1,6.3,10.8,11.3,6.8,13.3,9,6.4,7.3,8,11.3,1.70E-04,3.36E-05,1.40E-03,5.24E-06,1.29E-03,6.13E-04,5.77E-03,6.58E-04,6.49E-05,4.95E-09,5.80E-06,3.18E-04,2.22E-04,3.18E-05,8.45E-07,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000248734.2,CTD-2260A17.1,antisense,lncRNA,"chr5:96,120,481-96,121,703",9.6,12.2,25.7,20.2,26.2,24.5,12.1,12.8,24.5,16.3,21.3,24.5,19.4,21.5,21.1,1.02E-06,3.25E-09,1.71E-07,8.25E-08,1.50E-19,1.23E-17,5.40E-19,1.66E-18,8.34E-17,3.08E-09,6.62E-15,1.36E-21,1.00E-17,2.85E-15,2.09E-15,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000255389.1,C6orf3,antisense,lncRNA,"chr6:111,921,078-111,923,498",1.1,1.2,3.7,5.3,7.6,6.1,2.1,2.4,7.1,4.1,4.2,4.9,5.4,5.4,5.1,N/A,1.81E-03,N/A,2.85E-04,1.82E-05,1.55E-04,N/A,N/A,5.56E-05,6.00E-04,2.50E-04,3.17E-02,1.12E-03,4.24E-05,2.01E-02,11
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000260911.1,RP11-196G11.2,lincRNA,lncRNA,"chr16:31,054,471-31,061,201",4.4,2.1,9.6,7.5,9.5,10.2,6,6.9,8.5,6.6,10.2,7.4,6.9,8.6,9.3,1.14E-06,N/A,2.21E-08,1.35E-03,2.72E-09,5.43E-09,N/A,1.21E-03,3.07E-05,1.20E-06,5.84E-07,3.25E-08,4.38E-06,1.00E-06,2.70E-03,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000262703.1,RP11-485G7.6,antisense,lncRNA,"chr16:11,442,000-11,443,178",0,0.1,0.1,2,1.4,1.2,0.2,0.3,0.7,0.6,0.2,0,0.2,0.4,0.5,N/A,N/A,N/A,4.39E-04,3.30E-08,1.71E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000262766.1,RP11-196G11.4,sense intronic,lncRNA,"chr16:31,129,399-31,130,068",33,21.8,24.1,57.4,33.6,34.9,15.5,12.5,29.3,23.7,23.7,21,22.8,26.7,29,N/A,1.53E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000263080.1,RP11-485G7.5,antisense,lncRNA,"chr16:11,435,666-11,439,068",0,0,0,1.1,0.5,0.3,0.1,0.2,0.3,0.3,0.1,0,0.1,0.1,0.1,N/A,N/A,N/A,2.51E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000271821.1,XXbac-BPG299F13.14,lincRNA,lncRNA,"chr6:31,167,942-31,169,695",0.9,2,1.4,1.1,5.7,4.3,2.7,1.9,5.7,4.5,2.9,2.4,3.1,3.2,3.7,N/A,1.76E-05,1.37E-02,N/A,9.87E-05,8.93E-03,1.40E-02,N/A,2.47E-02,6.00E-04,1.78E-03,1.23E-04,2.87E-05,1.65E-04,1.56E-06,12
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000272109.1,CTD-2260A17.3,antisense,lncRNA,"chr5:96,140,056-96,141,808",1.8,0.7,6.8,4,3.6,3,1.9,1.7,4.5,5.2,6.1,6.1,5.8,5,4.9,5.39E-07,N/A,9.09E-05,3.94E-08,1.74E-03,4.17E-03,N/A,N/A,1.42E-03,6.64E-04,1.98E-06,4.87E-05,1.24E-05,2.40E-05,1.38E-02,12
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000272221.1,XXbac-BPG181B23.7,lincRNA,lncRNA,"chr6:31,362,066-31,363,272",5.9,7.4,13.5,13.5,16.2,12,3,3.2,19.7,18.5,13.7,12.4,13.5,12.3,13.9,8.52E-15,2.13E-15,2.95E-13,7.94E-17,9.30E-15,6.16E-15,1.09E-09,4.46E-12,4.12E-17,3.91E-15,1.14E-15,1.01E-14,8.41E-17,2.39E-17,1.71E-15,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000272501.1,XXbac-BPG299F13.17,antisense,lncRNA,"chr6:31,162,977-31,165,814",2.1,3.5,8.2,10.6,14,12.5,3.3,3.2,18.5,16.8,11.8,9.2,10.9,11.6,13.9,N/A,3.42E-04,N/A,1.91E-05,1.20E-02,9.72E-04,3.46E-02,8.57E-04,1.98E-02,2.71E-03,4.19E-02,N/A,N/A,N/A,1.06E-02,10
Psoriatic arthritis,Musculoskeletal diseases; Skin and connective tissue diseases,Psoriatic arthritis,ENSG00000137310.7,TCF19,protein coding,Protein-coding transcript,"chr6:31,126,319-31,134,936",2,6.2,34.3,21.7,22.3,21.1,5.1,5.4,28.9,41.6,24.8,17.4,18.6,21.3,23.5,N/A,N/A,5.87E-03,1.74E-04,3.24E-06,5.20E-07,N/A,2.58E-03,2.44E-07,9.53E-05,5.49E-03,1.55E-06,1.51E-03,2.56E-03,9.09E-06,12
Psoriatic arthritis,Musculoskeletal diseases; Skin and connective tissue diseases,Psoriatic arthritis,ENSG00000137312.10,FLOT1,protein coding,Protein-coding transcript,"chr6:30,695,486-30,710,510",74.1,21.6,93.3,21.9,72.3,53,21,16.1,71.4,29.5,76.1,39.6,56.4,80.8,100.5,9.95E-04,2.27E-11,2.30E-03,1.12E-04,2.12E-02,1.21E-02,4.13E-02,3.04E-04,N/A,2.67E-02,N/A,N/A,N/A,N/A,1.81E-02,10
Psoriatic arthritis,Musculoskeletal diseases; Skin and connective tissue diseases,Psoriatic arthritis,ENSG00000146112.7,PPP1R18,protein coding,Protein-coding transcript,"chr6:30,644,166-30,655,672",165.5,144.8,198.4,30.4,44.6,43.2,113.4,93.5,78.3,206.1,103.4,80.7,102.6,90.7,119.5,N/A,N/A,6.81E-03,N/A,N/A,N/A,4.30E-06,6.55E-04,N/A,N/A,1.95E-02,N/A,N/A,N/A,N/A,4
Psoriatic arthritis,Musculoskeletal diseases; Skin and connective tissue diseases,Psoriatic arthritis,ENSG00000162594.10,IL23R,protein coding,Protein-coding transcript,"chr1:67,632,083-67,725,662",0,0,0,0,0,0,0.4,0.1,0,0.3,0,4.7,1.5,0,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.01E-02,2.65E-06,N/A,N/A,2
